,1.1.1,1.1.10,1.1.11,1.1.12,1.1.13,1.1.14,1.1.15,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,1.1.8,1.1.9,1.2.1,1.2.10,1.2.11,1.2.12,1.2.13,1.2.14,1.2.15,1.2.2,1.2.3,1.2.4,1.2.5,1.2.6,1.2.7,1.2.8,1.2.9,0.0.0,0.0,1.1,1.10,1.11,1.12,1.13,1.14,1.15,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.10,2.11,2.12,2.13,2.14,2.15,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9
2.7,-23165.758861620063,-20144.926181349907,-17260.94999999999,-18276.6499991803,-15876.649999999985,-22133.843331541397,-20781.44999999982,-20141.06889616462,-21944.255990740425,-17665.447683821312,-25530.636545179386,-23975.59610791981,-23700.150724539086,-23460.39943020826,-16640.349999999995,-17617.24999999998,-15639.499999999985,-25621.19519702261,-19565.506959244885,-18338.396143720216,-21824.09999999198,-20777.458665373608,-25211.639452992174,-22944.727373842805,-16626.999999999985,-18350.399998766632,-19973.349913443744,-22538.95943841142,-23321.703429651407,-23097.14880364168,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.8,-24641.4748815206,-18286.280193614344,-21838.63975893023,-23209.431870270684,-21500.837372879127,-15667.399999999992,-19228.45,-21034.364453593113,-22552.115360770218,-18856.102897379158,-18135.89999999998,-16302.834760544183,-22973.192879466886,-20773.433098272777,-21109.699350668598,-22476.249853384026,-24359.159692650614,-17825.649999999983,-23482.546628330474,-24679.803774451477,-20349.09999972902,-15969.699984367913,-19027.649999999983,-22512.75284970941,-15833.99999999999,-19846.39999119253,-18714.899725173393,-24491.191129874856,-18291.249812426748,-19961.149998387747,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.9,-16868.249999999985,-17096.69193288157,-18661.9499999999,-17735.649999999983,-17001.725181755904,-16998.39999999998,-20901.449999999993,-21139.2150753784,-18498.668572156213,-19395.67776501622,-19388.899999999983,-18207.445763505093,-21959.19999999997,-19231.42254860724,-19684.233921106006,-19610.24999999997,-17545.42189418768,-23940.510731245176,-22410.696483951586,-23992.00820635066,-19068.100000000002,-20868.548757824174,-23714.649999999976,-23788.497394925267,-16007.999999999987,-18636.399999999983,-17404.899999999976,-22560.08628286494,-22966.63876196287,-22981.14999999997,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.1.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-10945.999999999998,-12499.931640543917,-14429.999872371407,-15928.786494845632,-16189.410111045285,-15822.192973982586,-17992.941896176406,-19005.841580268556,-13855.919939748856,-19627.999317024554,-10838.99999999999,-11896.961581660134,-16075.110067992558,-16396.848141035214,-10967.999999999987,-19100.817340346144,-13253.868199500019,-10434.999999999995,-18827.73422740908,-11666.685319693308,-13099.865195365095,-12338.487230400173,-18966.99643838042,-15348.095266222019,-13589.93311163941,-15704.723689406852,-11094.999999999995,-17385.92871577808,-18799.61799145371,-11128.99999999999
1.1.10,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-10925.858175744734,-10459.903125890613,-11518.893318081637,-16005.84898687756,-16251.670133438824,-19355.152980325256,-13410.738653590146,-13503.50197598974,-16244.57647795212,-12469.944435880585,-10045.999999999998,-12699.129292911839,-10066.999979630675,-19883.147736274135,-12280.637554955852,-17424.510765171086,-15375.360085958671,-16306.111745434686,-17061.20329203573,-11073.735273161845,-17300.76779174375,-13551.038796619838,-17809.861166881044,-10038.99999999999,-14121.766569554926,-14585.001664460953,-10276.99967816158,-19804.700282376565,-16261.44651224891,-11922.61554839491
1.1.11,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-12759.999999999241,-17203.002390987465,-19724.999842984995,-18531.809297748554,-12320.999999970614,-11924.927538976548,-15516.998606348423,-11120.999999999998,-11355.209332228706,-15217.000000000002,-18448.19916278564,-10527.999999999987,-10328.99999999999,-14420.999986043726,-11022.999999999987,-17976.172058768476,-14867.811950532621,-14610.820880135903,-17862.654114090394,-18396.389036450244,-18228.647027137325,-13006.079055633903,-17287.999561467976,-11507.20485852055,-16006.690052300568,-14857.936382413205,-15891.949562617756,-11579.9999999659,-16128.963907573987,-12980.999999999998
1.1.12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-18749.84299482289,-13664.999920702166,-17616.999994055284,-13754.99997495161,-14003.998274674555,-17061.9011297324,-19429.995946042625,-16416.999995014194,-14238.203191160981,-14950.999999999998,-14769.80277191711,-11463.99999999999,-14103.847460465948,-11529.999999999995,-16939.526481645855,-12936.540607844692,-13942.427031111138,-13243.106086766007,-12569.999645717802,-11799.607760412548,-13794.732883831215,-17118.274332985675,-19788.999380280187,-11960.482952356173,-11002.999999999987,-13963.738850151545,-16358.541864068517,-12224.763284149083,-17069.571524992807,-11683.99999999999
1.1.13,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-11517.165392934512,-11754.815631753756,-11591.913040020316,-17215.23808757541,-11216.230966818286,-10988.827645881922,-19176.5257745971,-13911.304678823579,-18056.752752103686,-10661.998935997575,-14856.512134913515,-10337.000000000002,-17754.622046605884,-16996.80700987413,-16016.850034651385,-16146.848111083687,-11695.71168993712,-18643.567029278704,-16084.836664011953,-10268.99999999999,-11040.886383360768,-13712.432381155704,-19930.893110529003,-14690.133774275706,-13985.223311451866,-10002.999999999987,-16657.38782950234,-10374.987020085762,-16998.563057622338,-11508.6943048602
1.1.14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-15650.963155662452,-11393.99999999999,-15079.999999907146,-15969.575814459768,-19789.109806967128,-16531.315230520526,-17530.725039581037,-16375.768839390867,-11881.569318080585,-18623.9987805979,-14517.720370538576,-14921.86180158124,-15427.681835105228,-13711.999992164132,-12813.929923354373,-12385.807765688845,-12163.529271206458,-13994.523030057053,-15439.701031268858,-12151.730064045536,-17030.23391220096,-15336.163169870257,-15793.996704673038,-12258.007004300951,-17545.66025224374,-10662.999999999987,-18367.20386956418,-16599.592526992106,-10107.999999999987,-11438.99999999999
